project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
drasyl_netty-tun,44.34,6.94,203,240,533,790,96,130
kousen_questjpa,51.85,1.67,81,145,91,216,51,115
hamitmizrak_ecodation_javafullstack1_tutorials,27.27,0.0,2,3,3,4,2,3
meteergin_medium-java-streams,0.5,0.0,57,58,101,102,36,37
x-usantatecla-project-ustuml_back-spring,86.14,80.09,193,909,278,2081,82,557
mozenn_spring-boot-rest-api-with-pagination-and-sorting,12.97,0.0,90,100,39,65,43,53
gavinklfong_spring-investment-platform,28.31,5.58,324,451,62,148,109,236
snksynthesis_voxel-game,0.0,0.0,207,207,566,566,91,91
code-it-team_gotcha-be,45.17,5.84,251,448,248,544,177,371
folksdev_movie-api,35.18,47.22,143,189,217,371,126,171
reactive-learning-io_spring-boot-reactive-webclient,16.25,0.0,85,105,102,143,52,72
flowingcode_gridhelpers,19.51,13.87,365,436,633,816,192,248
le36_chip36,94.0,90.05,37,380,77,889,10,162
coding-parrot_chess-engine,98.27,94.91,55,644,27,1012,9,163
nishihatapalmer_treetable,0.0,0.0,1006,1006,2092,2092,477,477
katibat_java-filmorate,48.46,18.25,215,330,179,425,90,204
praveengnair_springboot-drools-demo,28.57,0.0,29,38,52,76,18,27
isuru89_springboot-patch-operations,2.37,0.0,126,131,59,68,59,64
selimhorri_elastic-boot,4.95,0.0,43,46,24,27,29,32
gavinklfong_stream-api-exercises,31.33,11.21,114,139,23,45,56,81
zenwave360_json-schema-ref-parser-jvm,83.33,69.94,114,332,124,713,29,159
bilgehanyildiz_springbootdemo,9.31,0.0,57,72,127,145,54,69
feltex_feltex-excel-util,58.69,13.64,27,52,8,69,8,30
88250_symphony,0.15,0.02,3718,3720,18399,18436,1338,1340
devupgrade-online_season-2,35.09,38.24,120,161,224,311,91,127
ibm_ibm-ix-aem-sonarqube-plugin,94.48,74.38,111,392,78,1075,21,189
openapi-json-schema-tools_openapi-json-schema-generator,52.74,41.63,4189,6525,7368,15651,921,2078
obrunodelgado_camelboilerplate,56.14,0.0,16,32,56,114,12,28
youngerjesus_refactoring-2nd-edition,12.19,4.21,643,692,1031,1161,499,543
sirskaro_pokeapi-reactor,95.8,0.0,5,64,9,128,5,64
olein_java-aws-rnd,3.69,0.0,42,47,120,125,40,45
rocketseat-creators-program_spring-rest-pdf-endpoint-2021-10-12,30.36,0.0,54,67,157,201,49,62
imduchy_cloud-workshop,32.76,0.0,37,52,66,102,37,52
bestsolution-at_mac-codesigner,1.23,0.0,40,43,146,152,19,22
sysobligatoriskopgave22_backendwebapp,80.12,56.0,61,113,21,135,39,88
schauder_talk-beyond,90.65,50.0,7,41,12,96,6,40
szerhusenbc_jwt-spring-security-demo,77.15,44.44,34,105,55,254,21,87
newbieorange_sustech-sql-project2-public,1.07,0.0,232,238,465,477,136,142
digitalinnovationone_lab-padroes-projeto-spring,5.63,0.0,41,45,69,73,40,44
