id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool, Tests,Project Type,Execution Time (s),Artifacts,Improved
234,vfdxvffd_Summer,2,0,12,0,2,0,4,0,3,0,3,0,maven,false,open source,52,86b95795e79aa04aaf478167599aa7eaee18d7ba,improvement
236,redis-developer_redi2read,10,8,254,188,16,11,119,89,98,74,21,14,maven,false,open source,1076,af0dbda89af95d4f6f7e169fbeea53cff1cac7cf,improvement
240,wxwer_MySpringImpl,6,2,46,5,1,0,11,3,22,2,12,0,maven,false,open source,116,8254bb74f8d2d61bbbabdc2336f891c6ba8f3b97,improvement
243,Azure-Samples_cassandra-proxy,5,1,24,2,2,1,16,1,6,0,0,0,maven,true,open source,111,f184bcaa612808ad9348a629330cc6bc94c13105,improvement
244,m-vokhm_Quadruple,0,0,0,0,0,0,0,0,0,0,0,0,maven,true,open source,61,ab83352f65d1c492f9222b12121481dec561e4fd,no improvement
249,vaadin_hilla-crm-tutorial,1,1,5,5,0,0,2,2,3,3,0,0,maven,false,open source,218,4a8bf9d802d5c50b0044ce67f51ba24c5093cb8e,no improvement
233,ashaowena_Bilibili-monitoring-system-server,10,7,250,216,9,7,100,85,114,101,27,23,maven,false,open source,2194,ff809683d6669bfc5476259f3cbcbbfae7662aed,improvement
254,iFLYTEK-OP_websdk-java-demo,8,6,39,31,5,5,21,21,8,5,5,0,maven,false,open source,71,9424886634e55e867a2e56a1e87a5068abb353db,improvement
255,dingwpmz_netty-learning,7,2,18,2,2,0,8,2,5,0,3,0,maven,false,open source,84,fde1b810fe4460ceb9518ff4ba1cddb835af6ba7,improvement
257,imduchy_cloud-workshop,5,1,123,3,9,0,54,2,50,1,10,0,maven,true,open source,115,79edc5e481a4197443e83a2c0ca284e6f5fc121e,improvement
259,libinglong_skywalking-threadpool-agent,2,0,6,0,1,0,3,0,2,0,0,0,maven,false,open source,65,8743365187a6a0b043dc598c2e7043ae873c6ca3,improvement
260,executeautomation_SpringBootSelenium,7,3,113,13,12,2,56,10,42,1,3,0,maven,false,open source,122,10ee08acbe65cf0903ea93dee1afb610c78f0c0b,improvement
253,jonssonyan_authority,10,9,309,156,13,11,84,75,157,60,55,10,maven,true,open source,752,9e0febd306fac1f5b6aede692675d6d441ac3f2d,improvement
263,zhuweitung_banana-helper,2,0,5,0,0,0,1,0,2,0,2,0,maven,true,open source,120,6d6aeec30f9e1df868444f826ba22bc23f493b95,improvement
265,underc0delabs_Autoc0de-Mobile,6,1,31,4,3,0,15,3,12,1,1,0,maven,false,open source,226,ae8d5e3a704915ffeb69fadb7fd18027630f90b9,improvement
268,darinpope_java-web-app,2,1,88,3,6,0,39,2,37,1,6,0,maven,true,open source,70,6a2cb7516ac81c63dcdf03696c5e8f07a7768ae2,improvement
266,JavaerLQ_ddisk-file,11,6,265,64,16,7,118,24,109,25,22,8,maven,false,open source,349,e6b46e5ccaaec8ae3e3641e39fb2802c27eed02c,improvement
269,gchq_synthetic-data-generator,8,1,44,8,0,0,15,5,27,3,2,0,maven,true,open source,123,724ebf2a801e85f42aa0a035987b36e7a1246c31,improvement
270,BestSolution-at_mac-codesigner,4,0,51,0,1,0,17,0,31,0,2,0,maven,true,open source,156,3e0fe0c0c3376765befc41ea2e81beb455402b14,improvement
273,RoyalUr_RoyalUr-Analysis,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,108,54903837f8521369605281adcdf05f1e6ce9503e,improvement
274,Jobarion_factoriogen,1,1,1,1,0,0,1,1,0,0,0,0,maven,false,open source,45,c62b83af0741f661b12952135ac4b0a4ea1643a2,no improvement
